ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
80522,Heather Blaine Mitts (-Feeley),F,34,165,55,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
81097,Alin George Moldoveanu,M,29,173,73,Romania,ROU,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
81111,Carlo Molfetta,M,28,183,78,Italy,ITA,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Gold
81225,Daniele Cristoforo Molmenti,M,27,170,69,Italy,ITA,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
81671,Maya April Moore,F,23,183,79,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
82008,"Alexandra Patricia ""Alex"" Morgan",F,23,173,62,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
82877,Camille-Marie Manuella Muffat,F,22,183,71,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Gold
83108,Lukas Mller,M,25,208,102,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
83118,"Maximillian ""Max"" Mller",M,25,185,80,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
83442,Ryota Murata,M,26,182,NA,Japan,JPN,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Gold
83558,"Andrew Barron ""Andy"" Murray",M,25,190,83,Great Britain,GBR,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,Gold
83571,Eric Gordon Murray,M,30,195,98,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
83657,Dmitry Aleksandrovich Musersky,M,23,219,104,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
83687,Petar Muslim,M,24,200,102,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
83692,Meghan Musnicki,F,29,183,73,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
83715,Aliya Farkhatovna Mustafina,F,17,162,48,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,Gold
84527,Daniel Narcisse,M,32,189,93,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
84677,Natlia Zlio Pereira,F,23,184,76,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
84839,Anastasiya Konstantinovna Nazarenko,F,19,172,52,Russia,RUS,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
84937,Sizwe Ndlovu,M,31,185,72,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
85360,Mauro Nespoli,M,24,181,78,Italy,ITA,2012 Summer,2012,Summer,London,Archery,Archery Men's Team,Gold
86968,Omid Haji Norouzi,M,26,175,70,Iran,IRI,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
87263,Tonje Nstvold,F,27,178,NA,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
87596,O Eun-Seok,M,29,181,76,South Korea,KOR,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold
87694,Hitomi Obara (Sakamoto-),F,31,156,48,Japan,JPN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
87801,Aleksey Aleksandrovich Obmochayev,M,23,188,90,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
87812,Paulo Obradovi,M,26,190,100,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
88226,Kelley Maureen O'Hara,F,23,165,58,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
88239,Oh Jin-Hyek,M,30,182,100,South Korea,KOR,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Gold
89040,Om Yun-Chol,M,20,151,56,North Korea,PRK,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Bantamweight,Gold
89072,Thierry Omeyer,M,35,192,93,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
89324,Heather Ann OReilly (-Werry),F,27,165,60,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
89582,Idalys Ortz Bocourt,F,22,180,95,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,Gold
89945,Dzhamal Sultanovich Otarsultanov,M,25,163,55,Russia,RUS,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
90144,Nathan Outteridge,M,26,179,75,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,Gold
90556,Malcolm George Page,M,40,185,71,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Gold
90631,Mariana Pajn Londoo,F,20,158,50,Colombia,COL,2012 Summer,2012,Summer,London,Cycling,Cycling Women's BMX,Gold
91649,Candace Nicole Parker (-Williams),F,26,193,80,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
91787,Krisztin Pars,M,30,188,116,Hungary,HUN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Hammer Throw,Gold
92089,Aleksandra Vyacheslavovna Patskevich,F,23,169,69,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
92158,"Christopher Emmanuel ""Chris"" Paul",M,27,183,83,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
92177,Paula Renata Marques Pequeno,F,30,184,74,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
92229,Maartje Yvonne Helene Paumen,F,26,176,66,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
92278,Josip Pavi,M,30,195,90,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
92507,Christie Patricia Pearce-Rampone,F,37,168,64,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
92991,"Victoria Louise ""Vicki"" Pendleton (-Gardner)",F,31,165,60,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Keirin,Gold
93134,Oribe Peralta Morones,M,28,179,73,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
93163,Lauren Perdue,F,21,170,65,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
93475,Sandra Perkovi,F,22,183,85,Croatia,CRO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Discus Throw,Gold
94040,Heather Petri,F,34,180,73,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
94406,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
94406,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,Gold
94406,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,Gold
94406,"Michael Fred Phelps, II",M,27,193,91,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
94941,Demetrius Rashad Pinder,M,23,178,70,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
95615,Svetlana Nikolayevna Podobedova,F,26,165,75,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Heavyweight,Gold
95863,Sophie Polkamp,F,27,164,59,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
96011,Miguel ngel Ponce Briseo,M,23,176,82,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
96424,Yury Viktorovich Postrigay,M,23,185,81,Russia,RUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
96660,"Olivia Elizabeth ""Polly"" Powrie",F,24,173,70,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
97528,Angela Pumariega Menndez,F,27,165,60,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
97561,Leuris Pupo Requejo,M,35,168,78,Cuba,CUB,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
97771,Qin Kai,M,26,170,65,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,Gold
97998,Rasmus Nicolai Quist Hansen,M,32,173,72,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Gold
98049,Jan Philipp Rabente,M,25,180,77,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
98437,"Alexandra Rose ""Aly"" Raisman",F,18,157,52,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
98437,"Alexandra Rose ""Aly"" Raisman",F,18,157,52,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,Gold
98669,Robeisy Eloy Ramrez Carrazana,M,18,165,56,Cuba,CUB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Flyweight,Gold
98926,Megan Anna Rapinoe,F,27,168,60,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
99022,Mads Reinholdt Rasmussen (-Kirke),M,30,183,75,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Gold
99436,Jonas Reckermann,M,33,201,98,Germany-1,GER,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
99523,"Peter ""Pete"" Reed",M,30,197,100,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Gold
99538,Brittney Davon Reese,F,25,173,61,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Long Jump,Gold
99780,Maximilian Reinelt,M,23,195,98,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
100215,Diego Antonio Reyes Rosales,M,19,190,66,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
100289,Ghasem Gholamreza Rezaei,M,26,185,100,Iran,IRI,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
100315,"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,33,163,82,United States,USA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,Gold
100516,Sanya Richards-Ross,F,27,173,62,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,Gold
100516,Sanya Richards-Ross,F,27,173,62,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
100714,Linn-Kristin Ullevoldster Riegelhuth Koren,F,27,175,66,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
100873,Rim Jong-Sim,F,19,162,75,North Korea,PRK,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Gold
100905,Teddy Pierre-Marie Riner,M,23,203,139,France,FRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,Gold
101041,va Risztov,F,26,173,72,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,Gold
101075,Taylor Ritzel,F,23,188,84,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
101708,Amy Joy Rodriguez (-Shilling),F,25,163,66,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
102276,Svetlana Alekseyevna Romashina,F,22,173,57,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
102276,Svetlana Alekseyevna Romashina,F,22,173,57,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
102697,Kyla Briana Ross,F,15,157,45,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
102758,Jessica Rossi,F,20,168,59,Italy,ITA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Trap,Gold
103052,Joanna Katie Rowsell Shand,F,23,180,69,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Gold
103274,David Lekuta Rudisha,M,23,190,76,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,Gold
103456,Kelly Kristen Rulon,F,27,178,61,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
103686,"Gregory James ""Greg"" Rutherford",M,25,188,92,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,Gold
103888,Olga Sergeyevna Rypakova (Alekseyeva-),F,27,183,62,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Triple Jump,Gold
104676,Carlos Arnoldo Salcido Flores,M,32,175,70,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
104740,Behdad Salimi Kordasiabi,M,22,192,160,Iran,IRI,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
104806,Max Salminen,M,23,197,98,Sweden,SWE,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Keelboat,Gold
104904,Ilaria Salvatori,F,33,160,56,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",Gold
105164,Flix Snchez Marcelo,M,34,178,64,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Gold
105692,Serik Zhumangaliyevich Sapiyev,M,28,179,64,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,Gold
106100,Martin Sauer,M,29,169,55,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
106107,"Rebecca Elizabeth ""Becky"" Sauerbrunn",F,27,170,64,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
106272,Mariya Sergeyevna Savinova (-Farnosova),F,26,172,60,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,Gold
106938,"Melanie Rene ""Mel"" Schlanger (-Wright)",F,25,176,65,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
107131,Richard Schmidt,M,25,191,87,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
107185,Allison Rodgers Schmitt,F,22,185,75,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,Gold
107185,Allison Rodgers Schmitt,F,22,185,75,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
107185,Allison Rodgers Schmitt,F,22,185,75,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
107434,Lauritz Schoof,M,21,195,98,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Gold
107479,Dirk Schrade,M,34,183,68,Germany,GER,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
107703,Karl Schulze,M,24,190,100,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Gold
108198,Emily Jane Seebohm,F,20,180,70,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
108313,Melissa Seidemann,F,22,183,104,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
108970,Karolina Andreyevna Sevastyanova,F,17,173,51,Russia,RUS,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
109062,Torul sgrov,M,19,170,65,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
109240,Eric Lee Shanteau,M,28,188,80,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
109358,Lasha Shavdatuashvili,M,20,170,75,Georgia,GEO,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Gold
109482,Sheilla Tavares de Castro Blassioli,F,29,185,65,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
109527,Yana Volodymyrivna Shemiakina,F,26,168,60,Ukraine,UKR,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Individual",Gold
109724,Claressa Maria Shields,F,17,175,75,United States,USA,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Middleweight,Gold
109900,Alla Anatolyevna Shishkina,F,22,170,54,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
111634,"Nicholas David ""Nick"" Skelton",M,54,175,76,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
111956,Tom Slingsby,M,27,186,81,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Dinghy,Gold
112229,"David ""Dave"" Smith",M,25,183,85,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
112309,John Smith,M,22,192,72,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
112412,Tate Smith,M,30,187,92,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
112580,Gril Snorroeggen,F,27,177,NA,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
112790,Aleksandr Sergeyevich Sokolov,M,30,193,97,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
112953,Hope Amelia Solo (-Stevens),F,30,175,69,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
113022,Joyce Sombroek,F,21,179,64,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
113109,Song Dae-Nam,M,33,178,85,South Korea,KOR,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,Gold
113169,Rebecca Soni,F,25,173,61,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,Gold
113169,Rebecca Soni,F,25,173,61,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
113243,Cdric Sorhaindo,M,28,192,110,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
113455,Hamid Mohammad Sourian Reihanpour,M,26,167,64,Iran,IRI,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
113893,Nicola Spirig Hug,F,30,166,54,Switzerland,SUI,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,Gold
113946,Barbora potkov,F,31,182,80,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,Gold
114078,rif rifov,M,23,180,97,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
114367,Heather Mary Stanning,F,27,181,72,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,Gold
114707,Jessica Marie Steffens,F,25,183,75,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
114708,"Margaret Ann ""Maggie"" Steffens",F,19,173,74,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
115165,Murray Stewart,M,26,186,86,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
115534,Etienne Stott,M,33,182,83,Great Britain-1,GBR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
115625,Thilo Stralkowski,M,25,190,92,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
115717,Jrmy Stravius,M,24,190,86,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
115836,Mris trombergs,M,25,186,90,Latvia,LAT,2012 Summer,2012,Summer,London,Cycling,Cycling Men's BMX,Gold
115949,"Jennifer ""Jenn"" Stuczynski-Suhr",F,30,183,66,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Pole Vault,Gold
116310,Sandro Sukno,M,22,200,93,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
116353,Linn Jrum Sulland,F,28,178,NA,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
116368,Joseph Sullivan,M,25,182,82,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
116505,Sun Yang,M,20,198,89,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Gold
116505,Sun Yang,M,20,198,89,China,CHN,2012 Summer,2012,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
116514,Sun Yujie,F,19,185,78,China,CHN,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Team",Gold
117012,David Svoboda,M,27,183,76,Czech Republic,CZE,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
117322,Gabriella Timea Szab,F,25,170,62,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
117523,ron Szilgyi,M,22,180,78,Hungary,HUN,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Individual",Gold
118390,Tandara Caixeta,F,23,184,87,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
118588,Kateryna Mykolavna Tarasenko,F,24,184,74,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Gold
118634,Jeneba Sylvia Tarmoh,F,22,165,59,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
118668,Davis Edward Tarwater,M,28,185,85,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
118778,Diana Lurena Taurasi,F,30,183,70,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
118870,Christian Taylor,M,22,188,81,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,Gold
118917,"Kathleen ""Katie"" Taylor",F,26,165,60,Ireland,IRL,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Gold
118953,Artur Borisovich Taymazov,M,33,190,120,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
118959,Servet Tazegl,M,23,180,68,Turkey,TUR,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,Gold
119411,Sergey Yuryevich Tetyukhin,M,36,197,89,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
119466,Thasa Daher de Menezes,F,25,196,75,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
119755,"Nicholas Brewer ""Nick"" Thoman",M,26,185,84,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
119790,Geraint Howell Thomas,M,26,183,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
119918,James Thompson,M,25,182,70,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
119985,Peter Thomsen,M,51,183,72,Germany,GER,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
120215,Tian Qing,F,25,168,63,China-1,CHN,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Doubles,Gold
120369,Anzhelika Igorevna Timanina,F,23,176,58,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
121109,"Miroslava ""Mirka"" Topinkov Knapkov",F,31,181,72,Czech Republic,CZE,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Single Sculls,Gold
121203,Sofia Toro Prieto-Puga,F,21,159,68,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
121215,Oleksiy Pavlovych Torokhtiy,M,26,181,105,Ukraine,UKR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,Gold
121915,"Andrew ""Andy"" Triggs Hodge",M,33,192,97,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Gold
122071,Laura Rebecca Trott (-Kenny),F,20,164,56,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Gold
122071,Laura Rebecca Trott (-Kenny),F,20,164,56,Great Britain,GBR,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Gold
122077,"De'Hashia Tonnek ""DeeDee"" Trotter",F,29,178,64,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
123056,Kohei Uchimura,M,23,160,54,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Gold
123205,Ivan Sergeyevich Ukhov,M,26,192,67,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Gold
123572,Oleksandr Oleksandrovych Usik,M,25,191,91,Ukraine,UKR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Heavyweight,Gold
124153,Naomi Frances van As,F,28,179,63,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
124348,Cameron van der Burgh,M,24,185,85,South Africa,RSA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,Gold
124598,Margot van Geffen,F,22,172,63,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
124771,Caia Jaqueline van Maasakker,F,23,180,69,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
124773,Kitty van Male,F,24,170,63,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
